status	key	command
Composition	Backspace	Backspace
Composition	Ctrl Backspace	Backspace
Composition	Ctrl d	Backspace



Composition	Ctrl a	MoveCursorToBeginning
Composition	Ctrl Left	MoveCursorToBeginning
Composition	Ctrl b	MoveCursorLeft
Composition	Ctrl Right	MoveCursorToEnd

Composition	Ctrl e	MoveCursorToEnd
Composition	Ctrl f	MoveCursorRight

Composition	Ctrl Down	MoveCursorToEnd

Composition	Ctrl Enter	Commit
Composition	Enter	Commit
Composition	Ctrl m	Commit


Composition	Ctrl g	Cancel
Composition	ESC	Cancel

Composition	Delete	Delete


Composition	Tab	PredictAndConvert
Composition	Ctrl Alt i	PredictAndConvert
Composition	Ctrl n	PredictAndConvert
Composition	Ctrl p	PredictAndConvert



Composition	Hiragana	InputModeHiragana
Composition	Ctrl j	InputModeHiragana



Composition	Ctrl i	ConvertToFullKatakana

Composition	Ctrl k	MoveCursorLeft
Composition	Ctrl l	MoveCursorRight



Composition	Ctrl o	ConvertToHalfWidth

Composition	Ctrl Right	MoveCursorToEnd
Composition	Ctrl s	MoveCursorLeft
Composition	Ctrl Shift Space	InsertFullSpace
Composition	Ctrl Space	InsertHalfSpace
Composition	Ctrl t	ConvertToHalfAlphanumeric
Composition	Ctrl u	ConvertToHiragana
Composition	Ctrl Up	MoveCursorToBeginning
Composition	Ctrl x	MoveCursorToEnd
Composition	Ctrl z	Cancel

Composition	Down	MoveCursorToEnd
Composition	Eisu	ToggleAlphanumericMode
Composition	End	MoveCursorToEnd


Composition	F10	ConvertToHalfAlphanumeric
Composition	F2	ConvertWithoutHistory
Composition	F6	ConvertToHiragana
Composition	F7	ConvertToFullKatakana
Composition	F8	ConvertToHalfWidth
Composition	F9	ConvertToFullAlphanumeric
Composition	Hankaku/Zenkaku	IMEOff
Composition	Henkan	Convert

Composition	Home	MoveCursorToBeginning
Composition	Katakana	InputModeFullKatakana
Composition	Left	MoveCursorLeft
Composition	Muhenkan	SwitchKanaType
Composition	Right	MoveCursorRight
Composition	Shift Backspace	Backspace
Composition	Shift ESC	Cancel
Composition	Shift Left	MoveCursorLeft
Composition	Shift Muhenkan	ConvertToFullAlphanumeric
Composition	Shift Right	MoveCursorRight
Composition	Shift Space	Convert
Composition	Space	Convert

Composition	VirtualLeft	MoveCursorLeft
Composition	VirtualRight	MoveCursorRight
Composition	VirtualEnter	Commit


Conversion	Up	ConvertPrev
Conversion	Ctrl Up	ConvertPrev
Conversion	Ctrl p	ConvertPrev

Conversion	Down	ConvertNext
Conversion	Ctrl n	ConvertNext



Conversion	Ctrl m	Commit
Conversion	Ctrl Enter	Commit
Conversion	Enter	Commit


Conversion	Delete	Cancel

Conversion	Backspace	Cancel
Conversion	Ctrl Backspace	Cancel
Conversion	Ctrl g	Cancel
Conversion	ESC	Cancel



Conversion	Ctrl a	SegmentFocusFirst
Conversion	Ctrl Left	SegmentFocusFirst
Conversion	Ctrl e	SegmentFocusLast
Conversion	Ctrl Right	SegmentFocusLast
Conversion	Left	SegmentFocusLeft
Conversion	Ctrl b	SegmentFocusLeft
Conversion	Ctrl f	SegmentFocusRight



Conversion	Ctrl Down	CommitOnlyFirstSegment



Conversion	Ctrl i	ConvertToFullKatakana

Conversion	Ctrl l	SegmentWidthExpand



Conversion	Ctrl o	ConvertToHalfWidth

Conversion	Ctrl Right	SegmentFocusLast
Conversion	Ctrl s	SegmentFocusLeft
Conversion	Ctrl Shift Space	InsertFullSpace
Conversion	Ctrl Space	InsertHalfSpace
Conversion	Ctrl t	ConvertToHalfAlphanumeric
Conversion	Ctrl u	ConvertToHiragana

Conversion	Ctrl x	ConvertNext



Conversion	Eisu	ToggleAlphanumericMode
Conversion	End	SegmentFocusLast
Conversion	Enter	Commit

Conversion	F10	ConvertToHalfAlphanumeric
Conversion	F6	ConvertToHiragana
Conversion	F7	ConvertToFullKatakana
Conversion	F8	ConvertToHalfWidth
Conversion	F9	ConvertToFullAlphanumeric
Conversion	Hankaku/Zenkaku	IMEOff
Conversion	Henkan	ConvertNext
Conversion	Hiragana	InputModeHiragana
Conversion	Home	SegmentFocusFirst
Conversion	Katakana	InputModeFullKatakana

Conversion	Muhenkan	SwitchKanaType
Conversion	PageDown	ConvertNextPage
Conversion	PageUp	ConvertPrevPage
